period_month,transaction_type,wifi_subsidy,operating_compensation,operating_expense,operating_material,utilities,ms365_subsidy,staff_salary_special,staff_salary_government,equipment_under_1m,equipment_over_1m,fixed_asset_fund_land_building,firewall_equipment,siem_subsidy,data_center_subsidy,wifi_satit_subsidy,general_subsidy,reserve_fund,development_fund_contribution,staff_development_fund,specific_grant,general_grant
2025-01,EXPENSE,61051,32506,23686,59269,111198,20735,81373,137785,12393,75226,129114,111212,93739,38951,95028,97665,28338,35689,34133,37890,112658
2025-01,BALANCE,312874,312874,312874,312874,312874,312874,312874,312874,312874,312874,312874,312874,312874,312874,312874,312874,312874,312874,312874,312874,312874
2025-02,EXPENSE,138911,77177,116443,131933,138213,125890,31900,134204,145325,107442,87884,32218,32300,136338,80729,148554,141446,144030,104652,114555,67186
2025-02,BALANCE,206334,206334,206334,206334,206334,206334,206334,206334,206334,206334,206334,206334,206334,206334,206334,206334,206334,206334,206334,206334,206334
2025-03,EXPENSE,22606,47515,59555,32781,103169,45141,125851,138799,113941,109297,13220,105892,109108,134901,104091,140215,22043,21485,69964,73107,74566
2025-03,BALANCE,126942,126942,126942,126942,126942,126942,126942,126942,126942,126942,126942,126942,126942,126942,126942,126942,126942,126942,126942,126942,126942
2025-04,EXPENSE,99449,24058,53178,32405,15797,93186,129783,124405,109174,45670,120937,82583,56835,62340,28834,61692,18443,16863,59958,92115,32769
2025-04,BALANCE,62157,62157,62157,62157,62157,62157,62157,62157,62157,62157,62157,62157,62157,62157,62157,62157,62157,62157,62157,62157,62157
2025-05,EXPENSE,26103,45566,125554,131232,65783,53837,116381,89526,69286,42648,138816,131285,146611,106905,114264,78895,28460,97025,71139,143903,65991
2025-05,BALANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06,EXPENSE,37083,25732,45704,92088,96790,101323,129954,102130,10561,143765,22975,73311,48844,61318,94586,100593,105805,68912,30232,12078,139384
2025-06,BALANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,EXPENSE,105063,72430,54640,54875,142104,38110,130336,33188,87384,33218,132764,77373,55991,71675,68129,148171,132499,106570,48648,65929,34117
2025-07,BALANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08,EXPENSE,44157,37306,48182,138322,137739,27461,34102,62495,16365,148994,11836,51665,110635,108334,68285,48992,33040,103201,15412,45347,81436
2025-08,BALANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09,EXPENSE,36799,131741,58157,57811,41357,35143,77842,31705,125590,28394,57832,37991,24633,59232,52749,111163,102502,133767,141194,13524,61565
2025-09,BALANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10,EXPENSE,143838,29255,138265,49557,38811,81104,45456,37926,49629,93443,38528,108929,66075,36551,86507,142268,50990,17381,36071,123497,59857
2025-10,BALANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11,EXPENSE,107283,120044,135392,96989,124812,98372,22261,88611,90092,12907,79520,110925,142818,92695,146324,109948,53190,140883,112231,126892,62969
2025-11,BALANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12,EXPENSE,138860,105697,123228,38204,103177,94403,36121,142699,43041,125739,56612,29384,36734,33062,90108,146110,51061,18974,109787,85698,138225
2025-12,BALANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
